ds,yhat,yhat_lower,yhat_upper,y,service_tag
9/24/2024,2.809455699,1.664494768,3.984981639,4.167166519,S3
9/25/2024,2.477492099,1.305628564,3.730957103,1.343632193,S3
9/26/2024,2.433849427,1.290164685,3.642995717,1.95224301,S3
9/27/2024,2.435409284,1.202003024,3.630265709,2.314740069,S3
9/28/2024,1.846487567,0.692032558,3.085540388,2.344545515,S3
9/29/2024,1.809822705,0.712363599,3.015670644,1.957734596,S3
9/30/2024,2.497659613,1.268464418,3.578881845,2.139387253,S3
10/1/2024,1.916062474,0.852127752,3.084837029,1.480558839,S3
10/2/2024,1.613718944,0.488812735,2.735246675,1.91118009,S3
10/3/2024,1.609638638,0.470506565,2.712954418,1.328650858,S3
10/4/2024,1.659751989,0.526266946,2.86612663,1.346182592,S3
10/5/2024,1.127264071,-0.071819048,2.287091322,1.10185707,S3
10/6/2024,1.153670424,-0.01657681,2.282605745,1.252070701,S3
10/7/2024,1.619358138,0.457864856,2.767980031,1.204349277,S3
10/8/2024,1.400739232,0.295883176,2.617693163,1.734950924,S3
10/9/2024,1.173177928,0.054870574,2.412043104,1.386963936,S3
10/10/2024,1.244855625,0.086470629,2.377510466,1.490530839,S3
10/11/2024,1.370280908,0.113236742,2.584973546,1.296985014,S3
10/12/2024,0.911299573,-0.242838944,2.156470416,1.229569873,S3
10/13/2024,1.008140095,-0.2159574,2.214252148,1.111189955,S3
10/14/2024,1.539930294,0.388944423,2.797998544,1.403154686,S3
10/15/2024,1.382187698,0.33676544,2.653294716,1.217192313,S3
10/16/2024,1.209432428,-0.01604097,2.376239373,1.24041023,S3
10/17/2024,1.329178217,0.165041591,2.519553951,1.272813801,S3
10/18/2024,1.495452507,0.35972683,2.725109653,1.361532616,S3
10/19/2024,1.069811591,-0.085155676,2.228013816,1.215191234,S3
10/20/2024,1.192386251,0.090625906,2.37209764,0.894984147,S3
10/21/2024,1.742393661,0.555005266,2.919860976,1.502745848,S3
10/22/2024,1.595618328,0.442652065,2.848519491,1.383871007,S3
10/23/2024,1.427011184,0.256232365,2.595050911,1.49657585,S3
10/24/2024,1.544662925,0.383849049,2.72787199,1.219018817,S3
10/25/2024,1.703303049,0.491713018,2.891888972,1.521176488,S3
10/26/2024,1.265291216,0.079300354,2.463230169,2.262594149,S3
10/27/2024,1.371637053,0.216641957,2.48398338,1.611225009,S3
10/28/2024,1.902484928,0.709549942,3.068565611,2.301966845,S3
10/29/2024,1.734567201,0.591240882,2.881609489,1.648051558,S3
10/30/2024,1.54377586,0.431071821,2.848112355,1.874767807,S3
10/31/2024,1.929733772,0.774261799,3.020983996,1.83257454,S3
11/1/2024,1.776146898,0.612639998,3.099731223,1.554692389,S3
11/2/2024,1.318017205,0.24582038,2.454613447,2.257087863,S3
11/3/2024,1.406398895,0.233687279,2.599003755,1.134878519,S3
11/4/2024,1.921989035,0.711732212,3.136407187,1.870251539,S3
11/5/2024,1.741944073,0.589320138,2.9464027,1.610641432,S3
11/6/2024,1.542443196,0.41666217,2.676267967,1.628444147,S3
11/7/2024,1.632631153,0.431447297,2.795651873,1.710864309,S3
11/8/2024,1.768092724,0.609775544,3.010726029,1.465680673,S3
11/9/2024,1.311826057,0.113314852,2.508301791,1.285723416,S3
11/10/2024,1.405251346,0.270984797,2.508112022,1.29004432,S3
11/11/2024,1.928691573,0.752347874,3.017772363,1.5524064,S3
11/12/2024,1.758828805,0.591170325,2.964187832,1.363229652,S3
11/13/2024,1.571285713,0.391729886,2.734277771,1.33649307,S3
11/14/2024,1.674588736,0.486275144,2.865990634,1.706807745,S3
11/15/2024,1.823664468,0.724307369,2.996780471,1.881951222,S3
11/16/2024,1.380835793,0.198256759,2.514478047,1.138198828,S3
11/17/2024,1.48685357,0.409384287,2.61732581,1.331738152,S3
11/18/2024,2.021399917,0.866103156,3.161026965,1.446718892,S3
11/19/2024,1.860565875,0.692494667,3.04646366,1.745587173,S3
11/20/2024,1.67945255,0.513124691,2.807739981,1.494576519,S3
11/21/2024,1.786151538,0.603860413,2.896713227,1.409557263,S3
11/22/2024,1.935255742,0.666074076,3.194080331,1.529360414,S3
11/23/2024,1.488866698,0.366791871,2.699895849,1.194325025,S3
11/24/2024,1.587633884,0.43872025,2.761945919,3.143785954,S3
11/25/2024,2.111261867,0.86705256,3.250996223,1.4034379,S3
11/26/2024,1.935987984,0.683436246,3.050035949,5.050756114,S3
11/27/2024,1.737179653,0.653526757,2.862072924,2.28753283,S3
11/28/2024,1.823307277,0.612948012,3.009101372,2.658873961,S3
11/29/2024,1.949444071,0.783372466,3.141747482,2.042056592,S3
11/30/2024,1.768883679,0.648606501,3.05681747,1.799876253,S3
12/1/2024,1.551040675,0.381095473,2.698253941,1.136524667,S3
12/2/2024,2.04818274,0.959121892,3.224058306,1.361646517,S3
12/3/2024,1.846643729,0.612714377,2.959605508,1.503634255,S3
12/4/2024,1.622521386,0.467036591,2.792025521,1.301051475,S3
12/5/2024,1.685003889,0.472422542,2.821011127,1.452823952,S3
12/6/2024,1.78984801,0.500107846,2.995925051,1.337862947,S3
12/7/2024,1.300351587,0.132814819,2.534512633,1.131057496,S3
12/8/2024,1.358356851,0.099166291,2.561139596,1.147413725,S3
12/9/2024,1.844721488,0.690811219,3.053160291,1.617422679,S3
12/10/2024,1.636761254,0.434079659,2.782828381,1.335753324,S3
12/11/2024,1.410814247,0.171739799,2.522385664,1.511563711,S3
12/12/2024,1.476183785,0.310008986,2.64394652,1.56918387,S3
12/13/2024,1.588612119,0.420085797,2.834337796,1.295427321,S3
12/14/2024,1.111252215,-0.075411106,2.272046578,1.16198046,S3
12/15/2024,1.185674139,-0.011495731,2.435451345,1.241440797,S3
12/16/2024,1.692342905,0.553467337,2.79970358,1.462269265,S3
12/17/2024,1.508071347,0.297031471,2.662397111,1.27031312,S3
12/18/2024,1.308597881,0.089376885,2.462515475,1.453544943,S3
12/19/2024,1.402545696,0.218421468,2.584008397,1.755407369,S3
12/20/2024,1.544915151,0.256478539,2.720281588,1.383461721,S3
12/21/2024,1.09807607,-0.084265617,2.244934387,1.174860511,S3
12/22/2024,1.202795907,0.024265511,2.36328072,1.578463656,S3
12/23/2024,1.738739998,0.585165683,2.925950052,1.408387709,S3
12/24/2024,1.581946842,0.416872276,2.793044955,1.412610143,S3
12/25/2024,1.407427627,0.219246408,2.620502034,1.487606401,S3
12/26/2024,1.523145937,0.336914545,2.712979054,2.045971344,S3
12/27/2024,1.68352882,0.364107428,2.799368154,2.082840533,S3
12/28/2024,1.250475388,-0.042542306,2.499445349,2.040056932,S3
